AppId,StartTime,EndTime,Id,Time,Duration,Revenue
Dotyk.Application.AirHockey,2018-02-02T19:57:55.9423789Z,2018-02-02T20:31:37.041Z,f22ea3c0-d1c4-4628-b975-902e31ca0965,19.95,33.68,52.0
Dotyk.Application.AirHockey,2018-02-02T21:16:50.6112957Z,2018-02-02T21:17:36.797Z,374a6580-9fd7-4707-935c-a9e96e70ee5c,21.27,0.77,155.0
Dotyk.Application.AirHockey,2018-02-03T09:13:24.4934575Z,2018-02-03T09:14:16.213Z,e2b7d338-e014-4141-b0ab-a1aa6b67764c,9.22,0.86,105.0
Dotyk.Application.AirHockey,2018-02-03T09:13:55.7260039Z,2018-02-03T09:14:09.789Z,981e3116-df0c-4df9-aea8-0e9c7f860b55,9.22,0.23,132.0
Dotyk.Application.AirHockey,2018-02-03T09:20:13.7762971Z,2018-02-03T09:20:30.026Z,79d290aa-451d-4aa5-a709-7bbae7c2ee8d,9.33,0.27,380.0
Dotyk.Application.AirHockey,2018-02-03T09:28:49.7883901Z,2018-02-03T09:28:54.334Z,47e43b5d-32c2-4a60-8124-04e4151277f1,9.47,0.08,380.0
Dotyk.Application.AirHockey,2018-02-03T11:03:21.5827044Z,2018-02-03T11:08:20.792Z,d6d5b733-22a0-4ed1-8f60-3353c76d9040,11.05,4.99,25.0
Dotyk.Application.AirHockey,2018-02-03T11:09:30.5982923Z,2018-02-03T11:12:46.92Z,7f8eb05d-ba16-42cd-ae49-7dbfe468b5d0,11.15,3.27,25.0
Dotyk.Application.AirHockey,2018-02-03T11:14:32.8959626Z,2018-02-03T11:14:49.356Z,d30a66a4-4a7c-4092-90c0-1092fd4c6931,11.23,0.27,132.0
Dotyk.Application.AirHockey,2018-02-03T11:15:11.9169096Z,2018-02-03T11:16:10.635Z,8941a4b4-0de7-4c0b-9848-cb51710e77ec,11.25,0.98,25.0
Dotyk.Application.AirHockey,2018-02-03T11:16:23.9616881Z,2018-02-03T11:17:56.49Z,bfc538c6-bc94-4d25-a1f8-6cf99c28f617,11.27,1.54,25.0
Dotyk.Application.AirHockey,2018-02-03T11:35:03.3287233Z,2018-02-03T11:35:31.014Z,7b45d293-0ba0-4483-8e4a-05ca2be8fdf9,11.58,0.46,25.0
Dotyk.Application.AirHockey,2018-02-03T11:35:16.737083Z,2018-02-03T11:43:42.009Z,15a9be1a-b912-4c32-9a33-6616b27216ab,11.58,8.42,25.0
Dotyk.Application.AirHockey,2018-02-03T11:35:20.7012642Z,2018-02-03T11:43:16.732Z,620a7901-621e-4450-b5b5-0a89014b1fc7,11.58,7.93,132.0
Dotyk.Application.AirHockey,2018-02-03T11:43:25.2267019Z,2018-02-03T11:57:21.38Z,511d022d-3e8e-49e5-a024-cb15214b5964,11.72,13.94,25.0
Dotyk.Application.AirHockey,2018-02-03T11:53:15.1899981Z,2018-02-03T11:53:28.565Z,4387a92d-e373-4d39-a414-b3f53b7d3961,11.88,0.22,165.0
Dotyk.Application.AirHockey,2018-02-03T11:56:35.3474806Z,2018-02-03T11:56:48.192Z,a50c7d05-4bd5-48c1-ba1e-3823a4d65d57,11.93,0.21,165.0
Dotyk.Application.AirHockey,2018-02-03T12:08:26.7715471Z,2018-02-03T12:10:26.993Z,c02248fd-1f0a-4396-87f1-c94b4f0e2837,12.13,2.0,25.0
Dotyk.Application.AirHockey,2018-02-03T12:45:18.7740987Z,2018-02-03T12:51:42.435Z,a6b8e588-c653-41e8-b9e1-38a777fe7a4d,12.75,6.39,25.0
Dotyk.Application.AirHockey,2018-02-03T12:45:20.3006318Z,2018-02-03T12:51:10.199Z,16dd47f5-9536-4c51-89c4-66f04965fffb,12.75,5.83,132.0
Dotyk.Application.AirHockey,2018-02-03T13:40:39.3460453Z,2018-02-03T13:41:21.426Z,14210183-5b34-46d9-9c37-9ec469b0b9ac,13.67,0.7,105.0
Dotyk.Application.AirHockey,2018-02-03T13:41:29.1453783Z,2018-02-03T13:42:30.827Z,daaa9fb4-a627-4b11-ae3b-5a8df65ced2f,13.68,1.03,105.0
Dotyk.Application.AirHockey,2018-02-03T13:51:35.5501751Z,2018-02-03T13:54:14.076Z,421cf983-391a-4967-a0d8-490df715e61b,13.85,2.64,25.0
Dotyk.Application.AirHockey,2018-02-03T13:52:36.0066692Z,2018-02-03T13:54:38.37Z,16e46ea7-49fb-482d-9273-534f996370bb,13.87,2.04,132.0
Dotyk.Application.AirHockey,2018-02-03T13:53:15.888516Z,2018-02-03T14:35:47.042Z,66dd5b07-40aa-4531-8336-a01775cd10ba,13.88,42.52,165.0
Dotyk.Application.AirHockey,2018-02-03T14:46:57.9837844Z,2018-02-03T14:52:20.327Z,13d8efa4-aad1-4a21-bdc3-691e9c7d1959,14.77,5.37,155.0
Dotyk.Application.AirHockey,2018-02-03T14:49:17.8482303Z,2018-02-03T14:52:25.138Z,78b7375e-d8e1-4867-86f0-72e025c4c844,14.82,3.12,165.0
Dotyk.Application.AirHockey,2018-02-03T14:52:37.2343943Z,2018-02-03T14:52:43.18Z,9627c693-a4ef-46d3-a3fd-7db0b8de710e,14.87,0.1,155.0
Dotyk.Application.AirHockey,2018-02-03T14:54:54.1910436Z,2018-02-03T14:55:00.05Z,ef432c80-3094-4dc1-bc3c-a66e94dc7de9,14.9,0.1,155.0
Dotyk.Application.AirHockey,2018-02-03T14:57:19.0651562Z,2018-02-03T14:57:49.952Z,161a47a4-9996-4648-8c73-6977296b4cf7,14.95,0.51,165.0
Dotyk.Application.AirHockey,2018-02-03T15:09:16.9985734Z,2018-02-03T15:09:39.532Z,7f04aa7b-51ac-44ee-a35f-96fa3ed7c776,15.15,0.38,132.0
Dotyk.Application.AirHockey,2018-02-03T15:14:12.5092518Z,2018-02-03T15:16:35.369Z,3bdb5c80-ed1d-4772-9f16-edbadb51e934,15.23,2.38,165.0
Dotyk.Application.AirHockey,2018-02-03T15:17:09.1246269Z,2018-02-03T15:18:16.342Z,b499332b-da76-45d6-8028-eb9f66ab3c6e,15.28,1.12,105.0
Dotyk.Application.AirHockey,2018-02-03T16:04:55.0005962Z,2018-02-03T16:07:38.151Z,fecc8ee5-adb4-4f4b-98c0-e18795c82f9f,16.07,2.72,105.0
Dotyk.Application.AirHockey,2018-02-03T16:09:46.3275949Z,2018-02-03T16:14:21.619Z,6e5a0dac-5b3f-4af5-90a1-5ef71018af2c,16.15,4.59,105.0
Dotyk.Application.AirHockey,2018-02-03T17:52:06.2876096Z,2018-02-03T17:59:55.45Z,b321e44f-542c-45e1-9835-69e65c3dad74,17.87,7.82,155.0
Dotyk.Application.AirHockey,2018-02-03T18:48:07.181361Z,2018-02-03T18:52:36.936Z,c1eb9f97-3c81-4e36-98fb-628b9b91c403,18.8,4.5,92.0
Dotyk.Application.AirHockey,2018-02-03T19:09:47.3609502Z,2018-02-03T19:22:03.069Z,7be0ead7-22da-4029-9b12-82f0ea384d1e,19.15,12.26,30.0
Dotyk.Application.AirHockey,2018-02-03T19:10:36.2883095Z,2018-02-03T19:18:21.23Z,62b2ea31-1942-4a66-8a00-782a24423a4e,19.17,7.75,105.0
Dotyk.Application.AirHockey,2018-02-03T19:22:18.089201Z,2018-02-03T19:22:22.32Z,55aa32d8-b212-4f1b-97a1-2b836555fb1f,19.37,0.07,30.0
Dotyk.Application.AirHockey,2018-02-03T19:57:21.960754Z,2018-02-03T20:08:34.951Z,3dc4ee63-6847-4f30-a22d-6642bf5202db,19.95,11.22,105.0
Dotyk.Application.AirHockey,2018-02-03T19:57:32.127397Z,2018-02-03T20:08:30.403Z,f30f96cc-a867-46f1-b2e0-8fb39feb1df1,19.95,10.97,165.0
