AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.Restaurant,2018-02-01T16:05:51.8612643Z,2018-02-01T16:09:25.829Z,15f79b5e-6b49-409d-9136-8e83856563b0,16.08,3.57,36.0,16
Dotyk.Application.Restaurant,2018-02-01T16:06:37.5388331Z,2018-02-01T16:06:57.166Z,c6e7b543-35be-45c0-a0c2-a3be61e8f103,16.1,0.33,115.0,16
Dotyk.Application.Restaurant,2018-02-01T16:06:53.5734464Z,2018-02-01T16:07:10.869Z,54d95bc9-c2a2-498d-a0b1-404f06096017,16.1,0.29,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:06:54.3652913Z,2018-02-01T16:11:14.554Z,854b946a-fbee-46e1-b57e-4dc64e98a588,16.1,4.34,129.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:07:11.9574765Z,2018-02-01T16:08:42.142Z,228d9218-f444-4fad-a048-49023832397d,16.12,1.5,115.0,16
Dotyk.Application.Restaurant,2018-02-01T16:07:16.1737968Z,2018-02-01T16:08:08.242Z,74ecef8a-6646-4163-9b0c-00d465115f5c,16.12,0.87,129.0,16
Dotyk.Application.Restaurant,2018-02-01T16:08:12.3704791Z,2018-02-01T16:08:16.921Z,2ca8506f-bfe7-4c7f-85de-53a371bb5f6a,16.13,0.08,129.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:08:13.3625258Z,2018-02-01T16:08:46.576Z,18a39d4e-e617-4ce8-bf43-db7c3ec27d65,16.13,0.55,38.0,16
Dotyk.Application.Restaurant,2018-02-01T16:08:21.4815616Z,2018-02-01T16:08:25.541Z,01640971-b330-48f8-9b18-4aec94a09b39,16.13,0.07,129.0,16
Dotyk.Application.AirHockey,2018-02-01T16:08:48.2018936Z,2018-02-01T16:26:44.953Z,1a681cdf-08dc-40a2-9422-35dc662cb796,16.13,17.95,129.0,16
